Date,Close,High,Low,Open,Volume,Stock
2022-03-08,2816.416015625,2833.219974778674,2745.337974676331,2774.0978756382206,71432,OFSS
2022-03-09,2811.1162109375,2850.517237852933,2802.2416864767843,2834.8635934117365,57674,OFSS
2022-03-10,2851.99609375,2885.028853372623,2802.857709727718,2842.9983936435115,97853,OFSS
2022-03-11,2850.147705078125,2885.8510326573582,2825.044376502277,2852.160858301165,131900,OFSS
2022-03-14,2895.46484375,2908.0370701323177,2843.1218600332913,2851.3389752356998,74228,OFSS
2022-03-15,2840.16357421875,2914.610717041968,2828.3310087562604,2912.9672940270025,54540,OFSS
2022-03-16,2903.353271484375,2912.515274427543,2843.820313669623,2862.0211430767135,83723,OFSS
2022-03-17,2919.992919921875,2935.4000104359343,2877.633652279256,2933.5100338769116,114134,OFSS
2022-03-21,2913.213623046875,2954.05264169821,2904.7499550495613,2935.1532784828946,49645,OFSS
2022-03-22,2955.942626953125,2966.5426243689217,2907.6670794657616,2916.2539239600337,129177,OFSS
2022-03-23,2924.96435546875,3009.395212665967,2917.9386819735028,2965.556823598595,118421,OFSS
2022-03-24,2981.25146484375,2988.564616682204,2925.2928334860176,2925.2928334860176,80582,OFSS
2022-03-25,2942.466552734375,2996.9460638745013,2926.1557002561544,2991.029781352698,91414,OFSS
2022-03-28,2877.099609375,2957.257404834781,2866.1296807244416,2942.46659799618,109741,OFSS
2022-03-29,2861.487060546875,2912.1043674871444,2855.5296523003785,2900.600406735289,92908,OFSS
2022-03-30,2918.513671875,2927.3470700512953,2867.772989327444,2919.0067789952154,99049,OFSS
2022-03-31,2948.09521484375,2959.886854236944,2918.51360304405,2924.471010975934,73869,OFSS
2022-04-01,2947.93115234375,3010.7098311328386,2937.6186328247677,2941.727190353194,103160,OFSS
2022-04-04,3014.736328125,3044.1125143582067,2952.8202861266695,2973.773929453852,106382,OFSS
2022-04-05,3021.063232421875,3056.7665543384956,3003.026706451028,3040.3323255517294,57256,OFSS
2022-04-06,3028.047607421875,3047.7275551520097,2987.2906421036805,3015.680810840624,48463,OFSS
2022-04-07,3048.22119140625,3081.4182571850565,3021.7619194806866,3031.211602136054,124440,OFSS
2022-04-08,3040.496826171875,3068.147538278273,3032.1154090661935,3048.549638925631,69148,OFSS
2022-04-11,3033.8408203125,3054.3424801613455,3019.789474756134,3041.9756831420973,45065,OFSS
2022-04-12,2961.037353515625,3041.9759352615083,2954.052805852275,3039.5108007920903,80560,OFSS
2022-04-13,2931.989990234375,2984.620655194592,2924.4714097885603,2978.7043721504724,38516,OFSS
2022-04-18,2947.602294921875,2970.9390216359625,2876.0313444181697,2876.0313444181697,67614,OFSS
2022-04-19,2929.689208984375,2999.0827057997762,2884.207396714005,2967.200259126573,78505,OFSS
2022-04-20,2891.19189453125,2945.0962488368373,2884.330523304223,2932.6883250197616,31572,OFSS
2022-04-21,2903.065185546875,2921.964547323973,2892.5883654313097,2892.5883654313097,26777,OFSS
2022-04-22,2864.198486328125,2912.8848906055114,2859.5558967984107,2904.667775959539,42995,OFSS
2022-04-25,2862.390869140625,2877.099625279325,2802.857911408795,2859.5560046035203,110774,OFSS
2022-04-26,2913.7890625,2924.7999166702725,2884.166321953474,2884.166321953474,59907,OFSS
2022-04-27,2879.277099609375,2925.292943667059,2867.8142642926373,2907.3795928219715,72240,OFSS
2022-04-28,2897.970947265625,2914.7749068230346,2865.0613625373408,2884.207280046032,52029,OFSS
2022-04-29,2926.320068359375,2945.712539931639,2899.039286784701,2900.6415840810373,41186,OFSS
2022-05-02,2878.907470703125,2922.869037552765,2865.7189605256,2908.85881584534,47471,OFSS
2022-05-04,2819.49755859375,2912.0223528929746,2792.9973629610654,2876.8530608919277,66527,OFSS
2022-05-05,2867.115966796875,2898.998415800766,2818.8404121119843,2858.2005166399967,143921,OFSS
2022-05-06,2890.04150390625,2912.88492238072,2818.4703543138357,2834.9045837850535,147407,OFSS
